sentence_id,lang,flores_code,text,domain,topic
0,eng,eng_Latn,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",wikinews,health
1,eng,eng_Latn,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.",wikinews,health
2,eng,eng_Latn,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.",wikinews,accident
3,eng,eng_Latn,The pilot was identified as Squadron Leader Dilokrit Pattavee.,wikinews,accident
4,eng,eng_Latn,Local media reports an airport fire vehicle rolled over while responding.,wikinews,accident
5,eng,eng_Latn,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",wikinews,sports
6,eng,eng_Latn,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",wikinews,sports
7,eng,eng_Latn,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",wikinews,politics
8,eng,eng_Latn,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",wikinews,politics
9,eng,eng_Latn,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",wikinews,politics
10,eng,eng_Latn,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.",wikinews,politics
11,eng,eng_Latn,Nadal's head to head record against the Canadian is 7–2.,wikinews,sports
12,eng,eng_Latn,He recently lost against Raonic in the Brisbane Open.,wikinews,sports
13,eng,eng_Latn,Nadal bagged 88% net points in the match winning 76 points in the first serve.,wikinews,sports
14,eng,eng_Latn,"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""",wikinews,sports
15,eng,eng_Latn,"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.",wikinews,crime
16,eng,eng_Latn,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,wikinews,crime
17,eng,eng_Latn,British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,wikinews,crime
18,eng,eng_Latn,"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.",wikinews,crime
19,eng,eng_Latn,"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".",wikinews,Politics and conflicts
20,eng,eng_Latn,Hsieh implied during the election that Ma might flee the country during a time of crisis.,wikinews,Politics and conflicts
21,eng,eng_Latn,Hsieh also argued that the photogenic Ma was more style than substance.,wikinews,Politics and conflicts
22,eng,eng_Latn,"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.",wikinews,
23,eng,eng_Latn,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,wikinews,sports
24,eng,eng_Latn,He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,wikinews,sports
25,eng,eng_Latn,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,wikinews,sports
26,eng,eng_Latn,"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.",wikinews,sports
27,eng,eng_Latn,Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,wikinews,Television
28,eng,eng_Latn,He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,wikinews,Television
29,eng,eng_Latn,Iraq's Abu Ghraib prison has been set alight during a riot.,wikinews,crime
30,eng,eng_Latn,The jail became notorious after prisoner abuse was discovered there after US forces took over.,wikinews,crime
31,eng,eng_Latn,"Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.",wikinews,crime
32,eng,eng_Latn,"As the cars ahead of Alonso went in for fuel under the safety car, he moved up the pack to take victory.",wikinews,crime
33,eng,eng_Latn,Piquet Jr. was sacked after the 2009 Hungarian Grand Prix.,wikinews,crime
34,eng,eng_Latn,"At exactly 8:46 a.m. a hush fell across the city, marking the exact moment the first jet struck its target.",wikinews,accident
35,eng,eng_Latn,Two beams of light have been rigged up to point skywards overnight.,wikinews,accident
36,eng,eng_Latn,"Construction is ongoing for five new skyscrapers at the site, with a transportation center and memorial park in the middle.",wikinews,accident
37,eng,eng_Latn,"The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.",wikinews,television
38,eng,eng_Latn,Each episode of the show would focus on a theme in a specific book and then explore that theme through multiple stories.,wikinews,television
39,eng,eng_Latn,Each show would also provide recommendations for books that children should look for when they went to their library.,wikinews,television
40,eng,eng_Latn,"John Grant, from WNED Buffalo (Reading Rainbow's home station) said ""Reading Rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read.""",wikinews,television
41,eng,eng_Latn,"It is believed by some, including John Grant, that both the funding crunch and a shift in the philosophy of educational television programming contributed to ending the series.",wikinews,television
42,eng,eng_Latn,"The storm, situated about 645 miles (1040 km) west of the Cape Verde islands, is likely to dissipate before threatening any land areas, forecasters say.",wikinews,disaster
43,eng,eng_Latn,Fred currently has winds of 105 miles per hour (165 km/h) and is moving towards the northwest.,wikinews,disaster
44,eng,eng_Latn,"Fred is the strongest tropical cyclone ever recorded so far south and east in the Atlantic since the advent of satellite imagery, and only the third major hurricane on record east of 35°W.",wikinews,disaster
45,eng,eng_Latn,"On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.",wikinews,culture
46,eng,eng_Latn,"250 years later, Guinness has grown to a global business that turns over 10 billion euros (US$14.7 billion) every year.",wikinews,culture
47,eng,eng_Latn,"Jonny Reid, co-driver for the A1GP New Zealand team, today made history by driving the fastest over the 48-year-old Auckland Harbour Bridge, New Zealand, legally.",wikinews,Sports
48,eng,eng_Latn,"Mr Reid managed to drive the New Zealand's A1GP car, Black Beauty at speeds over 160km/h seven times over the bridge.",wikinews,Sports
49,eng,eng_Latn,"The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is, and the only time the police managed to clock Mr Reid was when he slowed down to 160km/h.",wikinews,Sports
50,eng,eng_Latn,"In the last 3 months, over 80 arrestees were released from the Central Booking facility without being formally charged.",wikinews,Crime and Law
51,eng,eng_Latn,"In April this year, a temporary restaining order was issued by Judge Glynn against the facility to enforce the release of those held more than 24 hours after their intake who did not receive a hearing by a court commissioner.",wikinews,Crime and Law
52,eng,eng_Latn,"The commissioner sets bail, if granted, and formalizes the charges filed by the arresting officer. The charges are then entered into the state's computer system where the case is tracked.",wikinews,Crime and Law
53,eng,eng_Latn,The hearing also marks the date for the suspect’s right to a speedy trial.,wikinews,Crime and Law
54,eng,eng_Latn,"Peter Costello, Australian treasurer and the man most likely to succeed Prime Minister John Howard as Liberal party leader has thrown his support behind a nuclear power industry in Australia.",wikinews,Politics
55,eng,eng_Latn,"Mr Costello said that when nuclear power generation becomes economically viable, Australia should pursue its use.",wikinews,Politics
56,eng,eng_Latn,"""If it becomes commercial, we should have it. That is, there's no in-principle objection to nuclear energy"" Mr Costello said.",wikinews,Politics
57,eng,eng_Latn,"According to Ansa, ""police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession.",wikinews,Crime and Law
58,eng,eng_Latn,Police said Lo Piccolo had the upper hand because he had been Provenzano's right-hand man in Palermo and his greater experience won him the respect of the older generation of bosses as they pursued Provenzano's policy of keeping as low as possible while strengthening their power network.,wikinews,Crime and Law
59,eng,eng_Latn,"These bosses had been reined in by Provenzano when he put an end to the Riina-driven war against the state that claimed the lives of Mafia crusaders Giovanni Falcone and Paolo Borsellino in 1992.""",wikinews,Crime and Law
